Văn phòng TĐL;Địa chỉ;Điện thoại;Fax
Hưng Yên - Hưng Yên;Số 305 Nguyễn Văn Linh, Phường An Tảo, Tp. Hưng Yên, Tỉnh Hưng Yên;0321-3828828;0321-3828822
Khánh Hòa - Cam Ranh;Số 141 Đường 22-8, Phường Cam Linh, Tp. Cam Ranh, Tỉnh Khánh Hòa;0583-955455;0583-955457
Khánh Hòa ;Số 308 Thống Nhất, Tp. Nha Trang, Tỉnh Khánh Hòa;058-3811455;058-3811155
Kiên Giang - Kiên Giang 1;Số 1 Mạc Cửu, Phường Vĩnh Thanh, Tp. Rạch Giá, Tỉnh Kiên Giang;077-3921818;077-3921199
Kiên Giang ;Số D8 - 10 Tòa nhà Lạc Hồng, Phường Vĩnh Lạc, Tp. Rạch Giá, Tỉnh Kiên Giang;077-3816 661;077-3816 669
Kon Tum;Số 644 Duy Tân, Tp. Kon Tum, Tỉnh Kon Tum ;060-3913841;060-3913840
Lâm Đồng;Số 2 Lê Đại Hành, Phường 1, Tp. Đà Lạt;063-3511366;063-3511386
Nam Định 1;Số 63 Đặng Xuân Bảng, Xã Nam Phong, Tp. Nam Định, Tỉnh Nam Định;0350-3857051;0350-3857051
Nam Định ;Số 86 Đường Đông A, Khu đô thị Hòa Vượng, Tp. Nam Định;0350-3686969;0350-3686555
Nghệ An - Diễn Châu;Tầng 3, TTTM Phủ Diễn, Khối 4, Thị trấn Diễn Châu, Huyện Diễn Châu, Tỉnh Nghệ An;038-3624828;038-3621838
Nghệ An ;Số 146 Nguyễn Sỹ Sách, Tp. Vinh, Tỉnh Nghệ An;038-3588688;038-3588088
Nghệ An - Vinh ;Số 33 Đinh Công Trứ, Phường Hưng Phúc, Tp. Vinh, Tỉnh Nghệ An;038-8696699;038-8696698
Nghệ An - Vinh 1;Số 16 Ngư Hải, Khối Trung Mỹ, Phường Lê Mao, Tp. Vinh, Tỉnh Nghệ An;0388-699186;0388-699186
Ninh Bình;Phố Kỳ Lân, Khu đô thị mới Tân An, Phường Tân Thành, Tp. Ninh Bình, Tỉnh Ninh Bình ;0306-502396;030-3888667
Phan Thiết;Số 285 Đường 19/4, Phường Xuân An, Tp. Phan Thiết;062-3839363;062-3839355
Phú Thọ;Số 2667 Hùng Phương, Phường Nông Trang, Tp. Việt Trì, Tỉnh Phú Thọ;0210-3527619;0210-6258629
Phú Yên;Số 300 Hùng Vương, Phường 7, Tp. Tuy Hòa, Tỉnh Phú Yên;057-3889666;057-3889555
Quảng Bình;Số 226 Trần Hưng Đạo, Phường Nam Lý, Tp. Đồng Hới, Tỉnh Quảng Bình;052-3840312 ;052-3840311
Quảng Nam;Lô A1, A2 Nguyễn Văn Trỗi, Tp. Tam Kỳ, Tỉnh Quảng Nam;0510-3845885;0510-3845885
Quảng Ninh ;Số 67, Khu 6B, Phường Hồng Hải, Tp. Hạ Long, Tỉnh Quảng Ninh;033-3812158;033-3812159
Quảng Ninh - Hạ Long;Tầng 4, Số 88 Lê Thánh Tông, Tp.Hạ Long, Tỉnh Quảng Ninh;033-3619119;033-3619119
Sóc Trăng;Số 45 Lê Duẩn, Khóm 1, Phường 3, Tp. Sóc Trăng, Tỉnh Sóc Trăng;079-3638777;079-3638222
Thái Bình;Khối 34, Lô 2, TTTM Lý Bôn, Số 285 Lý Bôn, Phường Trần Lãm, Tp. Thái Bình, Tỉnh Thái Bình;036-6282548;036-3643087
Thái Bình 1;Số 209 Trần Thái Tông, khu Đô thị 1, phường Trần Hưng Đạo, Tp. Thái Bình, Tỉnh Thái Bình;036-3836889;036-3836968
Thái Nguyên;Tầng 3, Tòa nhà TTTM Sao Việt, Số 66 Hoàng Văn Thụ, Phường Hoàng Văn Thụ, Tp. Thái Nguyên, Tỉnh Thái Nguyên;0280-3655858;0280-3654656
Thanh Hóa  -Thọ Xuân;Lô 123, Khu 7, Thị trấn Thọ Xuân, Huyện Thọ Xuân, Tỉnh Thanh Hóa;037-3530868;037-3530868
Thanh Hóa ;Tầng 3, Số 180 Tống Duy Tân, Phường Lam Sơn, Tp. Thanh Hóa, Tỉnh Thanh Hóa;037-3724201;037-3724201
Tiền Giang 1;Số 43 Ấp Bắc, Phường 10, Tp. Mỹ Tho, Tỉnh Tiền Giang;073-3955588;073-3955693
Tiền Giang ;Số 12B5 Nguyễn Trãi, Phường 7, Tp. Mỹ Tho, Tỉnh Tiền Giang;073-3886720;073-3886701
 TP.HCM -  Gò Vấp;Số 18A Nguyễn Thái Sơn, Phường 3, Quận Gò Vấp, Tp. HCM;08-39894445;08-39894446
TP.HCM -  Thủ Đức;Số 66 Hoàng Diệu 2, Khu phố 3, Phường Linh Chiểu, Quận Thủ Đức, Tp. HCM;08-62593333;08.62590000
Trà Vinh;Số 533 Điện Biên Phủ, Khóm 3, Phường 6, Tp.Trà Vinh, Tỉnh Trà Vinh;074-3858777;074-3856708
Tuyên Quang;Tầng 5, Số 174 Bình Thuận, Tổ 25, Phường Tân Quang, Tp. Tuyên Quang, Tỉnh Tuyên Quang;0273-821626;027-3821626
Vĩnh Long;Số 225 Phạm Thái Bường, Phường 4, Tp. Vĩnh Long, Tỉnh Vĩnh Long;070-6262999;070-6262888
Vĩnh Phúc ;Tầng 05, Tòa nhà Tuấn Tài, Số 121 Trưng Trắc, Phường TrưngTrắc, Thị xã Phúc Yên, Tỉnh Vĩnh Phúc;0211-6268325;0211-6268306
Vĩnh Phúc - Vĩnh Yên;Tầng 2, Tòa nhà Số 1, Lô S4, Khu đô thị Chùa Hà Tiên, Phường Liên Bảo, Tp. Vĩnh Yên, Tỉnh Vĩnh Phúc;0211-6251148;0211-6251191
