20;Hồ Chí Minh;Công ty TNHH MTV Phan Dũng (Gò Vấp);ASD;397 Quang Trung, Phường 10, Quận Gò Vấp, Thành Phố Hồ Chí Minh;0862955839  ;phandungpanasonichcmc@gmail.com
21;Hồ Chí Minh;Công ty TNHH MTV Phan Dũng (Củ Chi);ASD;728 khu phố 2, QL22 thị trấn Củ Chi, huyện Củ Chi, Thành Phố Hồ Chí Minh;0837829904;phandungpanasonichcmc@gmail.com
22;Hồ Chí Minh;Điện lạnh Tín Đạt;ASD;33 Nguyễn Thị Tần P.2 Q.8 Thành Phố Hồ Chí Minh;0837613315;dienlanhtindat.q8@gmail.com
23;Thừa Thiên Huế;Công ty TNHH MTV Điện Lạnh Hoàng Nguyên;ASD;111 Hàn Mạc Tử, Phường Vỹ Dạ, Thành Phố Huế;054 3887388;dienlanhhoangnguyen@gmail.com
24;Hưng Yên;Trung tâm bảo hành điện tử điện lạnh Đức Toàn;ASD;233 Điện Biên 2, Phường Lê Lợi, Thành Phố Hưng Yên, Tỉnh Hưng Yên;03213864467;ductoan_hungyen@yahoo.com.vn
25;Kiên Giang ;Trung Tâm SC-BH Mua Bán Điện Tử Trịnh Mẫn;ASD;69 Mạc Cửu, Thành Phố Rạch Giá, Tỉnh Kiên Giang;0773872339;dientuman@yahoo.com.vn
26;Hồ Chí Minh;Công ty TNHH Hưng Võ (Hồ Chí Minh);ASD;132 Đội Cung, Phường 9, Quận 11, Thành Phố Hồ Chí Minh;0839634600;congtyhungvo@yahoo.com
27;Long An;Công ty TNHH Hưng Võ (Long An);ASD;153 Hùng Vương, Phường 2, Thị Xã Tân An, Tỉnh Long An;0723525911;congtyhungvo@yahoo.com
28;Nam Định;Công ty TNHH MTV điện lạnh Thành Đạt;ASD;37 Thành Chung, Phường Cửa Bắc, Thành Phố Nam Định, Tỉnh Nam Định;03503848824;tungdlnd@gmail.com
29;Nghệ An;Doanh nghiệp tư nhân điện lạnh Đức Vinh;ASD;7/A2 Hermann, Phường Hưng Phúc, Thành Phố Vinh, Tỉnh Nghệ An ;0383830034;vanmuoinghean@yahoo.com.vn
30;Khánh Hòa;Cơ sở Điện Lạnh Văn Minh;ASD;105 Đường 23 tháng 10, Phường Phương Sơn, TP.Nha Trang;0583589739;vanminhnt105@gmail.com
31;Ninh Bình;Trạm bảo hành Hải Chi Ninh Bình;ASD;76 Hải Thượng Lãn Ông, Phường  Phúc Thành, Thành Phố Ninh Bình, Tỉnh Ninh Bình;0303875340;dienlanhhaichinb@gmail.com
32;Bình Thuận;Cửa Hàng Điện Lạnh Quang Phụng;ASD;53 Phạm Ngọc Thạch, Thành Phố Phan Thiết, Tỉnh Bình Thuận;0623831666;quangphung54@yahoo.com.vn
33;Phú Thọ ;Trung tâm điện lạnh Tăng Tự;ASD;1827 Đại Lộ Hùng Vương, Phường Gia Cẩm, Thành Phố Việt Trì, Tỉnh Phú Thọ;02103847041;tangtudienlanh@yahoo.com
34;Phú Yên;Công ty TNHH Điện Cơ Điện Lạnh Huy Phát;ASD;83 Lê Thành Phương, Phường 8, Thành Phố Tuy Hòa, Tỉnh Phú Yên;0576254078;votanhuy99@gmail.com
35;Quảng Ngãi;Công ty TNHH Sao Việt Quảng Ngãi;ASD;918 Quang Trung, Thành Phố Quảng Ngãi, Tỉnh Quảng Ngãi;0556251479;phuongsaoviet205@gmail.com
36;Quảng Ninh;Công ty thương mại và kỹ thuật Hoa Trang;ASD;51 Kênh Liêm, Phường Cao Thắng, Thành Phố Hạ Long, Tỉnh Quảng Ninh;0333525080;hunghoatrang68@gmail.com
37;Quảng Bình;Công ty TNHH TM DV Điện Tử Điện lạnh Sơn Thủy;ASD;Đường Lý Thánh Tông, Lộc Ninh, Thành Phố Đồng Hới, Tỉnh Quảng Bình;0523852840;transon.dienlanh@gmail.com38;Sóc Trăng;Điện lạnh Hoàng Huy;ASD;130 Trương  Công Định, Phường 2, Thành Phố Sóc Trăng, Tỉnh Sóc Trăng;0793614888;hoanghuy73st@gmail.com
39;Thái Bình;Công ty TNHH Điện lạnh Rĩnh Long;ASD;272 Trần Hưng Đạo, Phường Đề Thám, Thành Phố Thái Bình, Tỉnh Thái Bình;0363833043;phamthanhlong272@gmail.com
40;Thái Nguyên;Công ty TNHH dịch vụ và thương mại Việt Cường;ASD;170 Phan Đình Phùng, Phường Phan Đình Phùng, Thành Phố Thái Nguyên, Tỉnh Thái Nguyên;02803752343;vietloantn@vnn.vn
41;Thanh Hóa;Công ty TNHH Công nghệ điện tử điện lạnh Mạnh Tuấn;ASD;258 Trường Thi, Phường Trường Thi, Thành Phố Thanh Hóa, Tỉnh Thanh Hóa;0373855866;dienlanhmanhtuanth@gmail.com
42;Lào Cai;Trung tâm sửa chữa và hảo hành Ngọc Hòa;ASD;Số 17 Trần Đăng Ninh, Phường Cốc Lếu, Thành Phố Lào Cai, Tỉnh Lào Cai;0203820202;baohanhlaocai1@gmail.com
43;Hòa Bình;Trung tâm điện tử điện lạnh Tuấn Cường;ASD;Tổ 5 Phường Đồng Tiến, Thành phố Hoà Bình, Tỉnh Hòa Bình;02186266568;dltuancuong@gmail.com
44;Quảng Trị;Doanh Nghiệp Tư Nhân Bảo Bảo Thiên;ASD;32 Nguyễn Trãi, Phường 1, Thành Phố Đông Hà, Tỉnh Quảng Trị;053 3553 636;ttbh_quangtri@yahoo.com.vn
45;Quảng Nam;Cơ điện lạnh Đại Chúng;ASD;418 Phan Châu Trinh, Thành Phố Tam Kỳ, Tỉnh Quảng Nam.;05103851675;daichungtamky@yahoo.com
46;Bà Rịa Vũng Tàu;Công ty TNHH DV Cơ Điện Lạnh Tân Quang Linh;ASD;169C Trương Công Định, Phường 3, Thành Phố Vũng Tàu, Tỉnh Vũng Tàu;0643852509;linhnguyentanvt@gmail.com
47;Tây Ninh;Công ty TNHH MTV TM & KT Điện Lạnh Thống Nhất;ASD;80 Tôn Đức Thắng, Khu Phố 2, Thị Trấn Hòa Thành, Tỉnh Tây Ninh;0663841897;thongnhattayninh@yahoo.com.vn
48;Hồ Chí Minh;Công ty TNHH TM-DV Thiên Khôi ;ASD;133/14 Gò Dầu, Phường Tân Quý, Quận Tân Phú, Thành Phố Hồ Chí Minh;0839309906;thienkhoi@baohanhpanasonic.com
49;Kiên Giang ;Điện lạnh Thảo Trang;ASD;211 Nguyễn Trung Trực, Khu Phố 5, Thị Trấn Dương Đông, Huyện Phú Quốc, Tỉnh Kiên Giang;0773995794;dienlanh.thaotrang@gmail.com
50;Hồ Chí Minh;Công ty TNHH Điện Lạnh Trường Thịnh Phát;ASD;36A Đường số 9, Phường Linh Tây, Quận Thủ Đức, Thành Phố Hồ Chí Minh;0837201037;khacontrol.lg.vn@gmail.com
51;Trà Vinh;Điện lạnh Quốc;ASD;100B3 Trần Phú, Phường 2, Thành Phố Trà Vinh, Tỉnh Trà Vinh;0743866875;dienlanhquoc@gmail.com
52;Vĩnh Long;Điện lạnh Long Hải;ASD;39/2B Ông Phủ, Phường 4, Thành phố Vĩnh Long, Tỉnh Vĩnh Long;0703830126;longhaivl@yahoo.com.vn
53;Vĩnh Phúc;Công ty TNHH HBS;ASD;58 Trần Quốc Tuấn, Phường Ngô Quyền, Thành Phố Vĩnh Yên, Tỉnh Vĩnh Phúc;02113861941;hbsvinhphuc@gmail.com
54;Yên Bái;Điện tử điện lạnh Hồng Hà;ASD;557 Đại Lộ Nguyễn Thái Học, Phường Hồng Hà, Thành Phố Yên Bái, Tỉnh Yên Bái;0293862522;dienlanhhongha_yenbai@yahoo.com.vn
55;Hồ Chí Minh ;Công Ty TNHH Một Thành Viên Cơ Điện Lạnh Trần Vinh;Proshop;809 Quốc Lộ 1A, Phường Bình Hưng Hòa A, Quận BìnhTân, Thành phố Hồ Chí Minh;08 3750 2776
56;Hồ Chí Minh ;Công ty TNHH TM DV An Phú Hưng;Proshop;1294A Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Thành phố Hồ Chí Minh;09 8886 8260
57;Hồ Chí Minh ;Công ty TNHH Thương mại Dịch vụ Kỹ Thuật Điện lạnh Ánh Hồng;Proshop;327 Hoàng Diệu, Phường 6, Quận 4, Thành phố Hồ Chí Minh;08 3826 8153
58;Bình Thuận;Công ty TNHH Thương Mại - Dịch Vụ - Kỹ Thuật Thành Long;Proshop;212-214 Thủ Khoa Huân, Phường Phú Thủy, Thành phố Phan Thiết, Tỉnh Bình Thuận;062 3500 600
59;Bình Dương;Công ty Cổ phần khí công nghiệp cơ điện lạnh Tỉnh Thành Phát;Proshop;345/14 Khu phố Tân Phú 1, phường Tân Bình, Thị xã Dĩ An, Tỉnh Bình Dương .;0650.6262.878
60;Hồ Chí Minh ;Công ty CP Kỹ Thuật Minh Đông;Proshop;43R Hồ Văn Huê, Phường 9, Quận Phú Nhuận, Thành phố Hồ Chí Minh;08 3995 9786
61;Đồng Nai;Công ty TNHH Thái Trung;Proshop;18/1 KP1 Phạm Văn Thuận, Phường Bình Đa, Thành phố Biên Hòa, Tỉnh Đồng Nai.;061 381 1819
62;Hồ Chí Minh ;Công ty Cổ phần Samtech Việt Nam;Proshop;469A Lũy Bán Bích, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh;08 3768 6868
63;Cần Thơ ;Công ty TNHH MTV Cơ điện lạnh Phố;Proshop;327A/10 QL91B, Phường An Khánh, Quận Ninh Kiều, Thành Phố Cần Thơ;0710 3782 150
64;Hồ Chí Minh ;Công ty TNHH TM DV Lê Hoàng Phạm;Proshop;339 Nguyễn Thái Bình, Phường 12, Quận Tân Bình, TP. HCM;0918126825
65;Hồ Chí Minh ;Công ty TNHH TM DV Kỹ thuật Trung Thành;Proshop;443/1D Lê Văn Sỹ, Phương 12, Quận 3, Thành Phố Hồ Chí Minh;0903938128
66;Hà Nội;Công ty CP thương mại và Sản xuất Hợp Phát;Proshop;165 Nguyễn Lương Bằng, Quận Đống Đa, Thành Phố Hà Nội;0439325438
67;Hà Nội;Công ty TNHH Long Phong;Proshop;34 Tôn Đức Thắng, Quận Đống Đa, Thành Phố Hà Nội;04 37337604
68;Hà Nội;Công ty CP thương mại kỹ thuật An Việt;Proshop;Lô A11/D21 Khu đô thị mới Cầu Giấy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội;04 37951468
69;Hải Phòng;Công ty TNHH Thương mại và Dịch vụ XNK Trọng Tiến;Proshop;143 Lương Khánh Thiện, Phường Cầu Đất, Quận Ngô Quyền, Thành Phố Hải Phòng;031 359 2621
70;Hải Phòng;Công ty TNHH Cơ Điện Lạnh Trung Dũng;Proshop;83A Trần Nguyên Hãn, Phường Lê Chân, Thành Phố Hải Phòng;031 3856 461
71;Đà Nẵng;Công ty TNHH Một Thành Viên Thương Mại & Dịch Vụ Huỳnh Nguyễn;Proshop;601 Điện Biên Phủ, Phường An Khê, Quận Thanh Khê, Thành Phố Đà Nẵng;0511 3726700
